type,size,duration,sorted
parallel,9000,0.00100017,true
sequential,9100,0.00100017,true
parallel,9100,0.000999928,true
sequential,9200,0.000999928,true
parallel,9200,0.000999928,true
sequential,9300,0.00100017,true
parallel,9300,0.00200009,true
sequential,9400,0.000999928,true
parallel,9400,0.000999928,true
sequential,9500,0.00100017,true
parallel,9500,0.00100017,true
sequential,9600,0.000999928,true
parallel,9600,0.00199986,true
sequential,9700,0.0120001,true
parallel,9700,0.00200009,true
sequential,9800,0.00200009,true
parallel,9800,0.00200009,true
sequential,9900,0.000999928,true
parallel,9900,0.00200009,true
sequential,10000,0.00199986,true
parallel,10000,0.000999928,true
sequential,11000,0.000999928,true
parallel,11000,0.000999928,true
sequential,12000,0.00199986,true
parallel,12000,0.00199986,true
sequential,13000,0.000999928,true
parallel,13000,0.000999928,true
sequential,14000,0.00300002,true
parallel,14000,0.00100017,true
sequential,15000,0.00199986,true
parallel,15000,0.00199986,true
sequential,16000,0.00199986,true
parallel,16000,0.000999928,true
sequential,17000,0.00200009,true
parallel,17000,0.00200009,true
sequential,18000,0.00199986,true
parallel,18000,0.00300002,true
sequential,19000,0.00199986,true
parallel,19000,0.00200009,true
sequential,20000,0.00199986,true
parallel,20000,0.00200009,true
sequential,21000,0.00199986,true
parallel,21000,0.00199986,true
sequential,22000,0.00300002,true
parallel,22000,0.00199986,true
sequential,23000,0.00300002,true
parallel,23000,0.00300002,true
sequential,24000,0.00300002,true
parallel,24000,0.00199986,true
sequential,25000,0.00300002,true
parallel,25000,0.00499988,true
sequential,26000,0.017,true
parallel,26000,0.017,true
sequential,27000,0.0129998,true
parallel,27000,0.00300002,true
sequential,28000,0.00399995,true
parallel,28000,0.00199986,true
sequential,29000,0.00300002,true
parallel,29000,0.00300002,true
sequential,30000,0.00400019,true
parallel,30000,0.00300002,true
sequential,31000,0.00399995,true
parallel,31000,0.00199986,true
sequential,32000,0.00399995,true
parallel,32000,0.00199986,true
sequential,33000,0.00399995,true
parallel,33000,0.00199986,true
sequential,34000,0.00500011,true
parallel,34000,0.00300002,true
sequential,35000,0.00499988,true
parallel,35000,0.00299978,true
sequential,36000,0.00400019,true
parallel,36000,0.00200009,true
sequential,37000,0.00399995,true
parallel,37000,0.00299978,true
sequential,38000,0.00500011,true
parallel,38000,0.00299978,true
sequential,39000,0.00499988,true
parallel,39000,0.00399995,true
sequential,40000,0.00699997,true
parallel,40000,0.00400019,true
sequential,41000,0.00499988,true
parallel,41000,0.00200009,true
sequential,42000,0.00600004,true
parallel,42000,0.00300002,true
sequential,43000,0.00600004,true
parallel,43000,0.00399995,true
sequential,44000,0.0059998,true
parallel,44000,0.00300002,true
sequential,45000,0.00600004,true
parallel,45000,0.00300002,true
sequential,46000,0.00699997,true
parallel,46000,0.00399995,true
sequential,47000,0.00600004,true
parallel,47000,0.00400019,true
sequential,48000,0.0059998,true
parallel,48000,0.00399995,true
sequential,49000,0.00699997,true
parallel,49000,0.00399995,true
sequential,50000,0.00699997,true
parallel,50000,0.00300002,true
sequential,51000,0.00699997,true
parallel,51000,0.00400019,true
sequential,52000,0.00700021,true
parallel,52000,0.00399995,true
sequential,53000,0.00699997,true
parallel,53000,0.00500011,true
sequential,54000,0.00800014,true
parallel,54000,0.00600004,true
sequential,55000,0.0079999,true
parallel,55000,0.00399995,true
sequential,56000,0.00800014,true
parallel,56000,0.00399995,true
sequential,57000,0.00900006,true
parallel,57000,0.00600004,true
sequential,58000,0.0079999,true
parallel,58000,0.00499988,true
sequential,59000,0.00900006,true
parallel,59000,0.00499988,true
sequential,60000,0.00900006,true
parallel,60000,0.00499988,true
sequential,61000,0.00900006,true
parallel,61000,0.00699997,true
sequential,62000,0.00900006,true
parallel,62000,0.00399995,true
sequential,63000,0.00899982,true
parallel,63000,0.00800014,true
sequential,64000,0.00999999,true
parallel,64000,0.00600004,true
sequential,65000,0.00899982,true
parallel,65000,0.00500011,true
sequential,66000,0.00999999,true
parallel,66000,0.00500011,true
sequential,67000,0.0109999,true
parallel,67000,0.00499988,true
sequential,68000,0.00999999,true
parallel,68000,0.00600004,true
sequential,69000,0.00999999,true
parallel,69000,0.00600004,true
sequential,70000,0.00999999,true
parallel,70000,0.00500011,true
sequential,71000,0.00999999,true
parallel,71000,0.00500011,true
sequential,72000,0.00999999,true
parallel,72000,0.00699997,true
sequential,73000,0.0120001,true
parallel,73000,0.00899982,true
sequential,74000,0.0119998,true
parallel,74000,0.00699997,true
sequential,75000,0.0120001,true
parallel,75000,0.00699997,true
sequential,76000,0.0120001,true
parallel,76000,0.00699997,true
sequential,77000,0.0119998,true
parallel,77000,0.00600004,true
sequential,78000,0.0120001,true
parallel,78000,0.00600004,true
sequential,79000,0.0120001,true
parallel,79000,0.0059998,true
sequential,80000,0.013,true
parallel,80000,0.0079999,true
sequential,81000,0.0140002,true
parallel,81000,0.00999999,true
sequential,82000,0.0139999,true
parallel,82000,0.00700021,true
sequential,83000,0.016,true
parallel,83000,0.0120001,true
sequential,84000,0.0139999,true
